Month,Day,Hour,DC Array Output (W),AC System Output (W)
1,29,11,1830.98,1750.247
1,29,12,2020.999,1933.533
1,29,13,2242.93,2147.6
1,29,14,1793.327,1713.928
1,29,15,1258.059,1197.627
1,29,16,815.969,771.202
1,29,17,0.0,0.0
1,29,18,0.0,0.0
1,29,19,0.0,0.0
1,29,20,0.0,0.0
1,29,21,0.0,0.0
1,29,22,0.0,0.0
1,29,23,0.0,0.0
1,30,0,0.0,0.0
1,30,1,0.0,0.0
1,30,2,0.0,0.0
1,30,3,0.0,0.0
1,30,4,0.0,0.0
1,30,5,0.0,0.0
1,30,6,0.0,0.0
1,30,7,50.494,32.851
1,30,8,1203.686,1145.18
1,30,9,2232.466,2137.507
1,30,10,2904.716,2785.936
1,30,11,3296.715,3164.045
1,30,12,3356.265,3221.485
1,30,13,3173.857,3045.54
1,30,14,2713.2,2601.206
1,30,15,1991.333,1904.917
1,30,16,946.099,896.721
1,30,17,0.0,0.0
1,30,18,0.0,0.0
1,30,19,0.0,0.0
1,30,20,0.0,0.0
1,30,21,0.0,0.0
1,30,22,0.0,0.0
1,30,23,0.0,0.0
1,31,0,0.0,0.0
1,31,1,0.0,0.0
1,31,2,0.0,0.0
1,31,3,0.0,0.0
1,31,4,0.0,0.0
1,31,5,0.0,0.0
1,31,6,0.0,0.0
1,31,7,17.589,1.112
1,31,8,1125.902,1070.153
1,31,9,900.528,852.765
1,31,10,875.616,828.736
1,31,11,1531.324,1461.209
1,31,12,701.786,661.065
1,31,13,1845.688,1764.434
1,31,14,873.309,826.51
1,31,15,673.61,633.887
1,31,16,131.249,110.744
1,31,17,0.0,0.0
1,31,18,0.0,0.0
1,31,19,0.0,0.0
1,31,20,0.0,0.0
1,31,21,0.0,0.0
1,31,22,0.0,0.0
1,31,23,0.0,0.0
2,1,0,0.0,0.0
2,1,1,0.0,0.0
2,1,2,0.0,0.0
2,1,3,0.0,0.0
2,1,4,0.0,0.0
2,1,5,0.0,0.0
2,1,6,0.0,0.0
2,1,7,17.726,1.243
2,1,8,173.167,151.177
2,1,9,611.335,573.819
2,1,10,753.067,710.529
2,1,11,768.723,725.63
2,1,12,2557.715,2451.231
2,1,13,2820.123,2704.34
2,1,14,2402.883,2301.885
2,1,15,1769.18,1690.637
2,1,16,857.418,811.182
2,1,17,25.477,8.72
2,1,18,0.0,0.0
2,1,19,0.0,0.0
2,1,20,0.0,0.0
2,1,21,0.0,0.0
2,1,22,0.0,0.0
2,1,23,0.0,0.0
2,2,0,0.0,0.0
2,2,1,0.0,0.0
2,2,2,0.0,0.0
2,2,3,0.0,0.0
2,2,4,0.0,0.0
2,2,5,0.0,0.0
2,2,6,0.0,0.0
2,2,7,72.688,54.258
2,2,8,703.76,662.969
2,2,9,1988.932,1902.602
2,2,10,2522.218,2416.991
2,2,11,2849.19,2732.377
2,2,12,2774.338,2660.178
2,2,13,2739.217,2626.301
2,2,14,2327.134,2228.82
2,2,15,1743.779,1666.135
2,2,16,867.471,820.879
2,2,17,27.362,10.538
2,2,18,0.0,0.0
2,2,19,0.0,0.0
2,2,20,0.0,0.0
2,2,21,0.0,0.0
2,2,22,0.0,0.0
2,2,23,0.0,0.0
2,3,0,0.0,0.0
2,3,1,0.0,0.0
2,3,2,0.0,0.0
2,3,3,0.0,0.0
2,3,4,0.0,0.0
2,3,5,0.0,0.0
2,3,6,0.0,0.0
2,3,7,30.03,13.111
2,3,8,192.984,170.292
2,3,9,523.616,489.208
2,3,10,1910.624,1827.069
2,3,11,1389.692,1324.596
2,3,12,2475.705,2372.127
2,3,13,1910.033,1826.498
2,3,14,975.231,924.82
2,3,15,669.473,629.896
2,3,16,254.419,229.55
2,3,17,7.528,0.0
2,3,18,0.0,0.0
2,3,19,0.0,0.0
2,3,20,0.0,0.0
2,3,21,0.0,0.0
2,3,22,0.0,0.0
2,3,23,0.0,0.0
2,4,0,0.0,0.0
2,4,1,0.0,0.0
2,4,2,0.0,0.0
2,4,3,0.0,0.0
2,4,4,0.0,0.0
2,4,5,0.0,0.0
2,4,6,0.0,0.0
2,4,7,8.004,0.0
2,4,8,104.561,85.002
2,4,9,269.258,243.863
2,4,10,71.325,52.944
2,4,11,218.566,194.967
2,4,12,119.448,99.361
2,4,13,172.336,150.375
2,4,14,97.259,77.958
2,4,15,71.921,53.518
2,4,16,509.072,475.179
2,4,17,6.636,0.0
2,4,18,0.0,0.0
2,4,19,0.0,0.0
2,4,20,0.0,0.0
2,4,21,0.0,0.0
2,4,22,0.0,0.0
2,4,23,0.0,0.0
2,5,0,0.0,0.0
2,5,1,0.0,0.0
2,5,2,0.0,0.0
2,5,3,0.0,0.0
2,5,4,0.0,0.0
2,5,5,0.0,0.0
2,5,6,0.0,0.0
2,5,7,16.496,0.057
2,5,8,144.526,123.551
2,5,9,175.373,153.304
2,5,10,86.298,67.386
2,5,11,89.059,70.049
2,5,12,222.987,199.231
2,5,13,423.016,392.173
2,5,14,231.529,207.471
2,5,15,134.273,113.661
2,5,16,790.458,746.595
2,5,17,8.129,0.0
2,5,18,0.0,0.0
2,5,19,0.0,0.0
2,5,20,0.0,0.0
2,5,21,0.0,0.0
2,5,22,0.0,0.0
2,5,23,0.0,0.0
2,6,0,0.0,0.0
2,6,1,0.0,0.0
2,6,2,0.0,0.0
2,6,3,0.0,0.0
2,6,4,0.0,0.0
2,6,5,0.0,0.0
2,6,6,0.0,0.0
2,6,7,29.83,12.919
2,6,8,719.441,678.094
2,6,9,1892.803,1809.879
2,6,10,2730.362,2617.761
2,6,11,2719.439,2607.224
2,6,12,2808.54,2693.168
2,6,13,1650.645,1576.302
2,6,14,1233.653,1174.085
2,6,15,979.335,928.779
2,6,16,290.943,264.779
2,6,17,14.625,0.0
2,6,18,0.0,0.0
2,6,19,0.0,0.0
2,6,20,0.0,0.0
2,6,21,0.0,0.0
